"","office","description","city","zip","state","parish","candidate","party","level","type","genoffice","race","gender"
"1","Governor",NA,"Baton Rouge","70804-9004","LA",NA,"John Bel Edwards","Democrat","State","Executive","Governor","White","Male"
"2","Lieutenant Governor",NA,"Baton Rouge","70804-4243","LA",NA,"""Billy"" Nungesser","Republican","State","Executive","Lieutenant Governor","White","Male"
"3","Secretary of State",NA,"Baton Rouge","70804-9125","LA",NA,"R. Kyle Ardoin",NA,"State","Executive","Secretary of State",NA,NA
"4","Attorney General",NA,"Baton Rouge","70804-9005","LA",NA,"""Jeff"" Landry","Republican","State","Executive","Attorney General","White","Male"
"5","State Treasurer",NA,"Baton Rouge","70804","LA",NA,"John Schroder","Republican","State","Executive","State Treasurer","White","Male"
"6","Commissioner","Department of Agriculture and Forestry","Baton Rouge","70821-0631","LA",NA,"Michael G. ""Mike"" Strain","Republican","State","Executive","Commissioner","White","Male"
"7","Commissioner","Department of Insurance","Baton Rouge","70804-9214","LA",NA,"""Jim"" Donelon","Republican","State","Executive","Commissioner","White","Male"
"8","U. S. Senator",NA,"Baton Rouge","70809","LA",NA,"""Bill"" Cassidy","Republican","Federal","Legislative","U. S. Senator","White","Male"
"9","U. S. Senator",NA,"Baton Rouge","70809","LA",NA,"John Kennedy","Republican","Federal","Legislative","U. S. Senator","White","Male"
"10","U. S. Representative","1st Congressional District","Metairie","70005","LA",NA,"Steve Scalise","Republican","Federal","Legislative","U. S. Representative","White","Male"
"11","U. S. Representative","2nd Congressional District","New Orleans","70122","LA",NA,"Cedric Richmond","Democrat","Federal","Legislative","U. S. Representative","Black or African American","Male"
"12","U. S. Representative","3rd Congressional District","Gonzales","70737","LA",NA,"Clay Higgins","Republican","Federal","Legislative","U. S. Representative","White","Male"
"13","U. S. Representative","4th Congressional District","Shreveport","71105","LA",NA,"""Mike"" Johnson","Republican","Federal","Legislative","U. S. Representative","White","Male"
"14","U. S. Representative","5th Congressional District","Monroe","71201","LA",NA,"Ralph Abraham, Jr.","Republican","Federal","Legislative","U. S. Representative","White","Male"
"15","U. S. Representative","6th Congressional District","Baton Rouge","70808","LA",NA,"Garret Graves","Republican","Federal","Legislative","U. S. Representative",NA,NA
"16","Associate Justice","1st Supreme Court District of Louisiana","New Orleans","70130","LA",NA,"Greg Guidry","Republican","State","Judicial","Associate Justice","White","Male"
"17","Associate Justice","2nd Supreme Court District of Louisiana","New Orleans","70130","LA",NA,"Scott Crichton","Republican","State","Judicial","Associate Justice","White","Male"
"18","Associate Justice","3rd Supreme Court District of Louisiana","New Orleans","70130","LA",NA,"James ""Jimmy"" Genovese","Republican","State","Judicial","Associate Justice","White","Male"
"19","Associate Justice","4th Supreme Court District of Louisiana","New Orleans","70130","LA",NA,"Marcus Clark","Republican","State","Judicial","Associate Justice","White","Male"
