"","position","district","candidate","year","parish","party","votes","n_can","n_dem","n_rep","n_nopty","n_other","genoffice"
"1","Alderman","District  1, Town of Oberlin","Carey Marcantel ",2014,"Allen","REP",136,2,1,1,0,0,"Alderman"
"2","Alderman","District  1, Town of Oberlin","Wallace Bellard, Jr. ",2014,"Allen","DEM",37,2,1,1,0,0,"Alderman"
"3","Alderman","District  2, Town of Oberlin","Philip ""Phil"" Beard ",2014,"Allen","DEM",82,2,2,0,0,0,"Alderman"
"4","Alderman","District  2, Town of Oberlin","Robert Vest ",2014,"Allen","DEM",95,2,2,0,0,0,"Alderman"
"5","Alderman","District  2, Town of Plain Dealing","James ""Jim"" Parrish ",2014,"Bossier","NOPTY",153,2,0,0,2,0,"Alderman"
"6","Alderman","District  2, Town of Plain Dealing","Ronald ""Ronnie"" Griggs ",2014,"Bossier","NOPTY",190,2,0,0,2,0,"Alderman"
"7","Alderman","District  3, Town of Jonesville","Detra Johnson ",2014,"Catahoula","DEM",51,2,2,0,0,0,"Alderman"
"8","Alderman","District  3, Town of Jonesville","Josie Bullitts ",2014,"Catahoula","DEM",89,2,2,0,0,0,"Alderman"
"9","Alderman","District  3, Town of Oberlin","Linda ""Whip"" Boulden ",2014,"Allen","DEM",79,2,1,0,1,0,"Alderman"
"10","Alderman","District  3, Town of Oberlin","Tommy D. Germany ",2014,"Allen","NOPTY",124,2,1,0,1,0,"Alderman"
"11","Alderman","District  3, Town of Plain Dealing","Howard Haynie ",2014,"Bossier","REP",182,2,1,1,0,0,"Alderman"
"12","Alderman","District  3, Town of Plain Dealing","Jeffery ""Jeff"" Benson ",2014,"Bossier","DEM",175,2,1,1,0,0,"Alderman"
"13","Alderman","District  4, Town of Jonesville","Catina Branch ",2014,"Catahoula","DEM",63,3,3,0,0,0,"Alderman"
"14","Alderman","District  4, Town of Jonesville","Curtis Shavers ",2014,"Catahoula","DEM",39,3,3,0,0,0,"Alderman"
"15","Alderman","District  4, Town of Jonesville","Loria Hollins ",2014,"Catahoula","DEM",100,3,3,0,0,0,"Alderman"
"16","Alderman","District  4, Town of Oberlin","Janice Simon ",2014,"Allen","DEM",142,2,2,0,0,0,"Alderman"
"17","Alderman","District  4, Town of Oberlin","Samuel Ross ",2014,"Allen","DEM",85,2,2,0,0,0,"Alderman"
"18","Alderman","District  4, Town of Oil City","Cynthia Poindexter Barkschat ",2016,"Caddo","REP",34,2,1,1,0,0,"Alderman"
"19","Alderman","District  4, Town of Oil City","Sharon Emmons ",2016,"Caddo","DEM",30,2,1,1,0,0,"Alderman"
"20","Alderman","District  4, Town of Plain Dealing","Cindy Anderson Dodson ",2014,"Bossier","REP",203,2,0,2,0,0,"Alderman"
"21","Alderman","District  4, Town of Plain Dealing","Terry Richardson ",2014,"Bossier","REP",139,2,0,2,0,0,"Alderman"
"22","Alderman","District  5, Town of Jonesville","""Freddie"" Smith ",2014,"Catahoula","DEM",53,2,2,0,0,0,"Alderman"
"23","Alderman","District  5, Town of Jonesville","Tommy Branch ",2014,"Catahoula","DEM",83,2,2,0,0,0,"Alderman"
"24","Alderman","District  5, Town of Oil City","James Clifton, Sr. ",2016,"Caddo","DEM",30,2,1,1,0,0,"Alderman"
"25","Alderman","District  5, Town of Oil City","William ""Ricky"" Entrekin ",2016,"Caddo","REP",26,2,1,1,0,0,"Alderman"
"26","Alderman","District 1, City of Marksville","Frank Havard ",2014,"Avoyelles","DEM",241,3,3,0,0,0,"Alderman"
"27","Alderman","District 1, City of Marksville","Linda G. Adams ",2014,"Avoyelles","DEM",164,3,3,0,0,0,"Alderman"
"28","Alderman","District 1, City of Marksville","Terry Bordelon ",2014,"Avoyelles","DEM",129,3,3,0,0,0,"Alderman"
"29","Alderman","District 1, City of Springhill","D. Nicole Frazier ",2014,"Webster","DEM",246,2,2,0,0,0,"Alderman"
"30","Alderman","District 1, City of Springhill","T. Thomas ""Lisa"" Smith ",2014,"Webster","DEM",165,2,2,0,0,0,"Alderman"
"31","Alderman","District 1, Town of Basile","Darrell Reed ",2014,"Multi-Parish Race","DEM",39,2,2,0,0,0,"Alderman"
