,party,votes,district,candidate,parish,n_rep,n_other,sex,n_dem,n_can,n_nopty,year,position,estimate_confidence
1,REP,136,"District  1, Town of Oberlin",Carey Marcantel ,Allen,1,0,,1,2,0,2014,Alderman,0
2,DEM,37,"District  1, Town of Oberlin","Wallace Bellard, Jr. ",Allen,1,0,m,1,2,0,2014,Alderman,0.9926011508313525
3,DEM,82,"District  2, Town of Oberlin","Philip ""Phil"" Beard ",Allen,0,0,m,2,2,0,2014,Alderman,0.99600370435148
4,DEM,95,"District  2, Town of Oberlin",Robert Vest ,Allen,0,0,m,2,2,0,2014,Alderman,0.9952560453690997
5,NOPTY,153,"District  2, Town of Plain Dealing","James ""Jim"" Parrish ",Bossier,0,0,m,0,2,2,2014,Alderman,0.9948946927250034
6,NOPTY,190,"District  2, Town of Plain Dealing","Ronald ""Ronnie"" Griggs ",Bossier,0,0,m,0,2,2,2014,Alderman,0.9956894288101295
7,DEM,51,"District  3, Town of Jonesville",Detra Johnson ,Catahoula,0,0,f,2,2,0,2014,Alderman,1.0
8,DEM,89,"District  3, Town of Jonesville",Josie Bullitts ,Catahoula,0,0,f,2,2,0,2014,Alderman,0.9854289764757637
9,DEM,79,"District  3, Town of Oberlin","Linda ""Whip"" Boulden ",Allen,0,0,f,1,2,1,2014,Alderman,0.9976658690466881
10,NOPTY,124,"District  3, Town of Oberlin",Tommy D. Germany ,Allen,0,0,m,1,2,1,2014,Alderman,0.9841493187805505
11,REP,182,"District  3, Town of Plain Dealing",Howard Haynie ,Bossier,1,0,m,1,2,0,2014,Alderman,0.9945221471358142
12,DEM,175,"District  3, Town of Plain Dealing","Jeffery ""Jeff"" Benson ",Bossier,1,0,m,1,2,0,2014,Alderman,0.9936354247357035
13,DEM,63,"District  4, Town of Jonesville",Catina Branch ,Catahoula,0,0,f,3,3,0,2014,Alderman,0.99808564878688
14,DEM,39,"District  4, Town of Jonesville",Curtis Shavers ,Catahoula,0,0,m,3,3,0,2014,Alderman,0.9911811561390508
15,DEM,100,"District  4, Town of Jonesville",Loria Hollins ,Catahoula,0,0,f,3,3,0,2014,Alderman,1.0
16,DEM,142,"District  4, Town of Oberlin",Janice Simon ,Allen,0,0,f,2,2,0,2014,Alderman,0.9974657889607156
17,DEM,85,"District  4, Town of Oberlin",Samuel Ross ,Allen,0,0,m,2,2,0,2014,Alderman,0.9935795879439664
18,REP,34,"District  4, Town of Oil City",Cynthia Poindexter Barkschat ,Caddo,1,0,f,1,2,0,2016,Alderman,0.9973470256055875
19,DEM,30,"District  4, Town of Oil City",Sharon Emmons ,Caddo,1,0,f,1,2,0,2016,Alderman,0.9966625277357525
20,REP,203,"District  4, Town of Plain Dealing",Cindy Anderson Dodson ,Bossier,2,0,f,0,2,0,2014,Alderman,0.9970814013243933
21,REP,139,"District  4, Town of Plain Dealing",Terry Richardson ,Bossier,2,0,m,0,2,0,2014,Alderman,0.7933753306521132
22,DEM,53,"District  5, Town of Jonesville","""Freddie"" Smith ",Catahoula,0,0,m,2,2,0,2014,Alderman,0.8958577602299079
23,DEM,83,"District  5, Town of Jonesville",Tommy Branch ,Catahoula,0,0,m,2,2,0,2014,Alderman,0.9841493187805505
24,DEM,30,"District  5, Town of Oil City","James Clifton, Sr. ",Caddo,1,0,m,1,2,0,2016,Alderman,0.9948946927250034
25,REP,26,"District  5, Town of Oil City","William ""Ricky"" Entrekin ",Caddo,1,0,m,1,2,0,2016,Alderman,0.9953311467968323
26,DEM,241,"District 1, City of Marksville",Frank Havard ,Avoyelles,0,0,m,3,3,0,2014,Alderman,0.9943891786097325
27,DEM,164,"District 1, City of Marksville",Linda G. Adams ,Avoyelles,0,0,f,3,3,0,2014,Alderman,0.9976658690466881
28,DEM,129,"District 1, City of Marksville",Terry Bordelon ,Avoyelles,0,0,m,3,3,0,2014,Alderman,0.7933753306521132
29,DEM,246,"District 1, City of Springhill",D. Nicole Frazier ,Webster,0,0,f,2,2,0,2014,Alderman,0.996100862902133
30,DEM,165,"District 1, City of Springhill","T. Thomas ""Lisa"" Smith ",Webster,0,0,m,2,2,0,2014,Alderman,0.995826643361949
31,DEM,39,"District 1, Town of Basile",Darrell Reed ,Multi-Parish Race,0,0,m,2,2,0,2014,Alderman,0.9915456002242513
32,DEM,71,"District 1, Town of Basile","Frank Ceasar, Sr. ",Multi-Parish Race,0,0,m,2,2,0,2014,Alderman,0.9943891786097325
33,DEM,72,"District 1, Town of Benton",Jacqueline Neal Carr ,Bossier,1,0,f,1,2,0,2016,Alderman,0.9966444848839354
34,REP,37,"District 1, Town of Benton",Willie Kelly ,Bossier,1,0,m,1,2,0,2016,Alderman,0.8245478946169532
35,NOPTY,87,"District 1, Town of Delcambre","Amanda ""Mandy"" Thibodeaux ",Multi-Parish Race,1,0,f,0,2,1,2016,Alderman,0.9969042670927849
36,REP,89,"District 1, Town of Delcambre",Madison Saunier ,Multi-Parish Race,1,0,f,0,2,1,2016,Alderman,0.7172768735173423
37,DEM,87,"District 1, Town of Sunset","Carroll ""Hook"" Willingham ",St. Landry,0,0,m,3,3,0,2014,Alderman,0.7909529725669063
38,DEM,125,"District 1, Town of Sunset","Craig B. Belson, Sr. ",St. Landry,0,0,m,3,3,0,2014,Alderman,0.9961499486460932
39,DEM,95,"District 1, Town of Sunset",J. Darrell Burleigh ,St. Landry,0,0,m,3,3,0,2014,Alderman,0.9915456002242513
40,DEM,183,"District 2, City of Marksville","Chris ""T-Chris"" Lachney ",Avoyelles,0,0,m,2,2,0,2014,Alderman,0.83895278593768
41,DEM,217,"District 2, City of Marksville","Michael ""Mike"" Gremillion ",Avoyelles,0,0,m,2,2,0,2014,Alderman,0.9942998490435268
42,DEM,133,"District 2, City of Springhill",Dennis Smith ,Webster,0,0,m,1,2,1,2014,Alderman,0.9956785768367803
43,NOPTY,81,"District 2, City of Springhill","Soloman ""Pete"" Porter, Jr. ",Webster,0,0,m,1,2,1,2014,Alderman,1.0
44,DEM,58,"District 2, Town of Delcambre","Donald Shelvin, Jr. ",Vermilion,0,0,m,2,2,0,2016,Alderman,0.995398079943256
45,DEM,141,"District 2, Town of Delcambre",Sarah A. Trahan ,Vermilion,0,0,f,2,2,0,2016,Alderman,0.9963753597867887
46,DEM,355,"District 2, Town of Gramercy",Jody M. Bourgeois ,St. James,0,0,f,2,2,0,2014,Alderman,0.6612064839423677
47,DEM,104,"District 2, Town of Gramercy",Shelly M. Warren ,St. James,0,0,f,2,2,0,2014,Alderman,0.9840746189820903
48,DEM,156,"District 2, Town of Sunset",Cheryl Monroe ,St. Landry,0,0,f,2,3,1,2014,Alderman,0.9978893583941136
49,NOPTY,63,"District 2, Town of Sunset",Melissa Primeaux ,St. Landry,0,0,f,2,3,1,2014,Alderman,0.9965863442207525
50,DEM,128,"District 2, Town of Sunset","Robert L. ""R. L."" Carmouche ",St. Landry,0,0,m,2,3,1,2014,Alderman,0.9952560453690997
51,DEM,83,"District 3, City of Marksville","Elliot ""Pete 3 Pete"" Jordan, Jr. ",Avoyelles,0,0,m,2,2,0,2014,Alderman,0.9950958844466804
52,DEM,188,"District 3, City of Marksville",Mary E. Sampson ,Avoyelles,0,0,f,2,2,0,2014,Alderman,0.9968311527897354
53,DEM,98,"District 3, Town of Mamou",Charles Reed ,Evangeline,1,0,m,3,4,0,2014,Alderman,0.9940010817081071
54,DEM,76,"District 3, Town of Mamou","Derryl ""T-Glyn"" Brunet ",Evangeline,1,0,m,3,4,0,2014,Alderman,0.9828484994916842
55,REP,50,"District 3, Town of Mamou",Jodie Gautreaux ,Evangeline,1,0,f,3,4,0,2014,Alderman,0.9283036285689321
56,DEM,36,"District 3, Town of Mamou",Ted Lavergne ,Evangeline,1,0,m,3,4,0,2014,Alderman,0.997511542868485
57,DEM,47,"District 3, Town of Newellton",Billy Mitchell ,Tensas,0,0,m,2,2,0,2016,Alderman,0.9859946135442302
58,DEM,51,"District 3, Town of Newellton",Richard Dunmore ,Tensas,0,0,m,2,2,0,2016,Alderman,0.9957745171215943
59,REP,114,"District 3, Town of Sunset",Gary Bonvillain ,St. Landry,1,0,m,1,2,0,2014,Alderman,0.9959022097468163
60,DEM,125,"District 3, Town of Sunset",Jarrod Shaw ,St. Landry,1,0,m,1,2,0,2014,Alderman,0.9962685585211595
61,DEM,201,"District 4, City of Marksville",Edward C. Conway ,Avoyelles,0,0,m,2,2,0,2014,Alderman,0.9949059318555097
62,DEM,72,"District 4, City of Marksville",Joyce P. Prier ,Avoyelles,0,0,f,2,2,0,2014,Alderman,0.9966419470486259
63,REP,148,"District 4, City of Springhill",Adam Harris ,Webster,1,1,m,1,3,0,2014,Alderman,0.9950243593634991
64,DEM,104,"District 4, City of Springhill",Gary Montgomery ,Webster,1,1,m,1,3,0,2014,Alderman,0.9959022097468163
65,OTHER,72,"District 4, City of Springhill",Martha Edens ,Webster,1,1,f,1,3,0,2014,Alderman,0.9966311332317491
66,DEM,40,"District 4, Town of Newellton",Alex Watson ,Tensas,0,0,m,2,2,0,2016,Alderman,0.9773922120744101
67,DEM,50,"District 4, Town of Newellton",Mattie Sampson ,Tensas,0,0,f,2,2,0,2016,Alderman,0.9953489738665173
68,DEM,50,"District 4, Town of Simmesport",Marsha Strong ,Avoyelles,0,0,f,2,2,0,2016,Alderman,0.9976993004668081
69,DEM,112,"District 4, Town of Simmesport",Sherman Bell ,Avoyelles,0,0,m,2,2,0,2016,Alderman,0.9920406495636784
70,DEM,221,"District 5, City of Marksville",Clyde Danny Benson ,Avoyelles,0,0,m,2,2,0,2014,Alderman,0.9868036940166117
71,DEM,120,"District 5, City of Marksville",Richard W. Tassin ,Avoyelles,0,0,m,2,2,0,2014,Alderman,0.9957745171215943
72,DEM,58,"District 5, Town of Benton","""Tommy"" Hill ",Bossier,0,0,m,1,2,1,2016,Alderman,0.9841493187805505
73,NOPTY,101,"District 5, Town of Benton",Wayne Cathcart ,Bossier,0,0,m,1,2,1,2016,Alderman,0.9952555487040492
74,REP,108,"District 5, Town of Newellton","""Lavonne"" Garner ",Tensas,1,0,f,1,2,0,2016,Alderman,0.9879990161676421
75,DEM,28,"District 5, Town of Newellton",Jeraldine London ,Tensas,1,0,f,1,2,0,2016,Alderman,1.0
76,REP,529,"District A, City of Breaux Bridge",Brenda Castille Hobbs ,St. Martin,1,0,f,1,2,0,2014,Alderman,0.996823051189346
77,DEM,283,"District A, City of Breaux Bridge","Gereline ""Geri"" Frederick ",St. Martin,1,0,f,1,2,0,2014,Alderman,1.0
78,DEM,394,"District A, City of Opelousas",Betty Hanchett ,St. Landry,0,0,f,2,3,1,2014,Alderman,0.9969607626687716
79,DEM,591,"District A, City of Opelousas",Julius Alsandor ,St. Landry,0,0,m,2,3,1,2014,Alderman,0.9899862647750985
80,NOPTY,121,"District A, City of Opelousas",Lashae Sonnier ,St. Landry,0,0,f,2,3,1,2014,Alderman,1.0
81,DEM,174,"District A, Town of Delhi",Danniel Dixon ,Richland,0,0,m,2,2,0,2014,Alderman,0.892908124789004
82,DEM,65,"District A, Town of Delhi",Larry W. Rancher ,Richland,0,0,m,2,2,0,2014,Alderman,0.9947791551761931
83,DEM,172,"District A, Town of Farmerville",Robert Allen ,Union,0,1,m,1,2,0,2016,Alderman,0.9952560453690997
84,OTHER,120,"District A, Town of Farmerville","Wayne ""Pone"" Jones ",Union,0,1,m,1,2,0,2016,Alderman,0.9952555487040492
85,REP,240,"District A, Town of Jonesboro","""Randy"" Layfield ",Jackson,2,0,m,1,3,0,2014,Alderman,0.983812860653693
86,DEM,95,"District A, Town of Jonesboro",Craig W. Williams ,Jackson,2,0,m,1,3,0,2014,Alderman,0.9961499486460932
87,REP,18,"District A, Town of Jonesboro",Heather Graham ,Jackson,2,0,f,1,3,0,2014,Alderman,0.9970292185534843
88,DEM,286,"District B, City of Breaux Bridge","Howard ""Doc"" Alexander ",St. Martin,0,0,m,2,2,0,2014,Alderman,0.9945221471358142
89,DEM,102,"District B, City of Breaux Bridge","Michael J. ""T-Mike"" Breaux ",St. Martin,0,0,m,2,2,0,2014,Alderman,0.9942998490435268
90,DEM,717,"District B, City of Opelousas","J. ""Tyrone"" Glover ",St. Landry,0,0,m,2,2,0,2014,Alderman,0.9885634649635843
91,DEM,547,"District B, City of Opelousas","Louis Butler, Jr. ",St. Landry,0,0,m,2,2,0,2014,Alderman,0.9920526015290941
92,NOPTY,127,"District B, Town of Delhi",Bobby Benson ,Richland,0,0,m,1,2,1,2014,Alderman,0.9689897702743147
93,DEM,84,"District B, Town of Delhi",Larry Houston ,Richland,0,0,m,1,2,1,2014,Alderman,0.9947791551761931
94,DEM,34,"District B, Town of Farmerville","Arthur C. ""Boots"" Hackney ",Union,0,0,m,5,5,0,2016,Alderman,0.9923915417930913
95,DEM,33,"District B, Town of Farmerville","Johnnie ""Jackie"" Ellison ",Union,0,0,m,5,5,0,2016,Alderman,0.668366953271256
96,DEM,61,"District B, Town of Farmerville",Kenneth Dixon ,Union,0,0,m,5,5,0,2016,Alderman,0.995116846001582
97,DEM,114,"District B, Town of Farmerville",Lavelle Maine ,Union,0,0,m,5,5,0,2016,Alderman,0.6534018383773604
98,DEM,94,"District B, Town of Farmerville",Thomas E. Nation ,Union,0,0,m,5,5,0,2016,Alderman,0.995826643361949
99,REP,60,"District B, Town of Jonesboro",Douglas Cary ,Jackson,3,0,m,0,3,0,2014,Alderman,0.9962081617864736
100,REP,148,"District B, Town of Jonesboro",Robbie Siadek ,Jackson,3,0,,0,3,0,2014,Alderman,0
101,REP,91,"District B, Town of Jonesboro",Stacy Byrd Strickland ,Jackson,3,0,f,0,3,0,2014,Alderman,0.8916539132025687
102,DEM,428,"District C, City of Ville Platte","""Mike"" Perron ",Evangeline,0,0,m,2,2,0,2014,Alderman,0.9962674737321997
103,DEM,145,"District C, City of Ville Platte",Anna L. Frank ,Evangeline,0,0,f,2,2,0,2014,Alderman,0.9964472846486572
104,DEM,117,"District C, Town of Farmerville",Caroline Gatson ,Union,0,0,f,2,2,0,2016,Alderman,0.9976513853031543
105,DEM,82,"District C, Town of Farmerville",Sharon I. Dixson ,Union,0,0,f,2,2,0,2016,Alderman,0.9966625277357525
106,DEM,201,"District C, Town of Jonesboro","Aaron ""Pete"" Stringer ",Jackson,0,0,m,2,2,0,2014,Alderman,0.9898886383284538
107,DEM,165,"District C, Town of Jonesboro",Charla Mason-Melton ,Jackson,0,0,f,2,2,0,2014,Alderman,1.0
108,DEM,60,"District C, Town of St. Joseph",Jerry Newman ,Tensas,0,0,m,2,2,0,2016,Alderman,0.974761974032612
109,DEM,33,"District C, Town of St. Joseph",Terry Britton ,Tensas,0,0,m,2,2,0,2016,Alderman,0.7933753306521132
110,NOPTY,363,"District D, City of Opelousas",Rachel T. Babineaux ,St. Landry,0,0,f,1,2,1,2014,Alderman,0.9960556374367882
111,DEM,544,"District D, City of Opelousas",Sherell Roberts ,St. Landry,0,0,f,1,2,1,2014,Alderman,0.998057991544976
112,DEM,259,"District D, City of Ville Platte","Freddie ""Rev"" Jack ",Evangeline,0,0,m,2,2,0,2014,Alderman,0.8958577602299079
113,DEM,250,"District D, City of Ville Platte","Lionel ""Coach"" Anderson ",Evangeline,0,0,m,2,2,0,2014,Alderman,0.9975899121660179
114,DEM,100,"District D, Town of Delhi","Lennon ""Butch"" Whitney ",Richland,0,0,m,2,2,0,2014,Alderman,0.9838465035412917
115,DEM,110,"District D, Town of Delhi",Marvin Hamilton ,Richland,0,0,m,2,2,0,2014,Alderman,0.9919048905473044
116,DEM,67,"District D, Town of Farmerville","Charles ""Charlie"" Young ",Union,0,0,m,3,3,0,2016,Alderman,0.9940010817081071
117,DEM,126,"District D, Town of Farmerville",Gerome Nation ,Union,0,0,m,3,3,0,2016,Alderman,1.0
118,DEM,115,"District D, Town of Farmerville",Ricky Johnikin ,Union,0,0,m,3,3,0,2016,Alderman,0.9913254239721818
119,DEM,133,"District D, Town of Jonesboro","""John"" Williams ",Jackson,0,0,m,3,3,0,2014,Alderman,0.9954070242261275
120,DEM,180,"District D, Town of Jonesboro",Devin Flowers ,Jackson,0,0,m,3,3,0,2014,Alderman,0.8516582170909147
121,DEM,72,"District D, Town of Jonesboro","John ""Toe"" Bradley ",Jackson,0,0,m,3,3,0,2014,Alderman,0.9954070242261275
122,DEM,476,"District E, City of Opelousas",Jacqueline Angelle Martin ,St. Landry,0,0,f,5,5,0,2014,Alderman,0.9966444848839354
123,DEM,61,"District E, City of Opelousas","Johnny ""JT"" Tolbert ",St. Landry,0,0,m,5,5,0,2014,Alderman,0.9881686765203005
124,DEM,176,"District E, City of Opelousas","Melvin ""Mitch"" Richard ",St. Landry,0,0,m,5,5,0,2014,Alderman,0.9891722493613221
