parish,city,office,n_candidates,candidate1,votes1,candidate2,votes2,candidate3,votes3,candidate4,votes4,win_party
Allen,Oakdale,Chief of Police,2,Scotty Laborde (NOPTY),767,Joseph Lockett (NOPTY),1089,,,,,NOPTY
Avoyelles,Cottonport,Chief of Police,4,"Earnest Anderson, Jr. (DEM)",388,Steven John Gauthier (REP),286,Taronda Jacobs (DEM),95,Donald Ray Jenkins (NOPTY),111,DEM
Avoyelles,Hessmer,Chief of Police,3,Donald Bernard (DEM),19,Donald Lachney (DEM),110,Kenneth P. Smith (DEM),239,,,DEM
Bossier,Haughton,Chief of Police,3,""Wayne" Berry (REP)""Wayne" Berry (REP)""ayne" Berry ""yne" Be""ne"""",308,"Ronald "Todd" Gibson (REP)""onald "Todd" Gibso""nald "Todd"""ald """",896,Adrian Ruffin (DEM),414,,,REP
Evangeline,Pine Prarie,Chief of Police,2,L. C. Deshotel (DEM),360,Joshua C. Estes (NOPTY),54,,,,,DEM
Grant,Georgetown,Chief of Police,2,""Clay" Nugent (REP)""Clay" Nugent (REP)""lay" Nugent (""ay" Nugen""y" Nug""" Nu"" Nu",102,Harry Robertson III (REP),38,,,,,REP
Jackson,Chatham,Chief of Police,4,"Matt "Billy" Huey (DEM)""att "Billy" Huey ""tt "Billy" H""t "Billy"" "Bil"""Bi""Bi",10,John T. Mize (NOPTY),19,Brandon Myers (DEM),207,Barclay James Spears (NOPTY),5,DEM
Jefferson Davis,Welsh,Chief of Police,2,""Tommy" Chaisson (NOPTY)""Tommy" Chaisson (NOPTY)""ommy" Chaisson (N""mmy" Chaisso""my" Chai""y" Ch""" C"" C",549,Marcus L. Crochet (DEM),917,,,,,DEM
Jefferson Davis,Fenton,Chief of Police,2,"Luther "Sam" Alfred (NOPTY)""uther "Sam" Alfred ""ther "Sam" A""her "S""e",146,"James "Russell" Benoit (NOPTY)""ames "Russell" Benoit (""mes "Russell" Ben""es "Russell"""s "Russe"" "Rus"""Ru""Ru",42,,,,,NOPTY
Lafourche,Lockport,Chief of Police,4,"Ernest P. Boudreaux, Sr. (DEM)",363,"Hamilton "Buck" Guidroz (DEM)""amilton "Buck" Guid""milton "Bu""il",56,Warren Vedros (DEM),612,Warren Vedros (DEM),612,REP
Livingston,Walker,Chief of Police,4,David Addison (REP),1037,""Joey" Booth (REP)""Joey" Booth (REP)""oey" Booth (""ey" Boot""y" Bo""" B"" B",767,""Chris" Dufour (REP)""Chris" Dufour (REP)""hris" Dufour ""ris" Duf""is" ""s",848,William Lawson (REP),80,REP
Natchitoches,Powhatan,Chief of Police,2,Gregory Blake (DEM),30,Clarence White (NOPTY),19,,,,,DEM
Sabine,Converse,Chief of Police,2,"Keith "Cricket" Manshack (DEM)""eith "Cricket" Manshack""ith "Cricket" Man""th "Cricket"""h "Crick"" "Cri"""Cr""Cr",128,Chad Ryals (REP),19,,,,,DEM
St. Landry,Washington,Chief of Police,4,Mary Doucet (NOPTY),74,"Daniel Trent, Sr. (DEM)",47,Latoya Trent (DEM),356,William Worthy (DEM),38,DEM
St. Tammany,Slidell,Chief of Police,4,""Tommy" Benasco (REP)""Tommy" Benasco (REP)""ommy" Benasco ""mmy" Bena""my" B""y"""",1796,Jimmie Estes (REP),1320,Randy Fandal (REP),5559,Kevin P. O'Neill (REP),2598,REP
Tangipahoa,Amite City,Chief of Police,2,Darrell H. Michael (OTHER),574,Jerry Trabona (DEM),1267,,,,,DEM
Tangipahoa,Tangipahoa,Chief of Police,2,Ray A. Henry (DEM),112,Darrell Martin (DEM),221,,,,,DEM
Tensas,Newellton,Chief of Police,3,Rocco Furello (DEM),164,Johnny Gales (DEM),297,"Jerry Martin, Sr. (DEM)",80,,,DEM
Vernon,Anacoco,Chief of Police,2,Randall Bryan (NOPTY),242,Jerry C. Waller (REP),221,,,,,NOPTY
Webster,Cullen,Chief of Police,3,Rosetta Carr Burnett (DEM),198,Christopher Lauderdale (DEM),25,"George Salsberry, Jr. (NOPTY)",102,,,DEM
Webster,Sarepta,Chief of Police,3,Richard Downs (NOPTY),146,Ted Lewis (REP),188,"Raymond Moore, Jr. (NOPTY)",30,,,REP
Webster,Dubberly,Chief of Police,2,Joseph Henry (REP),60,Charles E. Mims (DEM),104,,,,,DEM
West Baton Rouge,Port Allen,Chief of Police,2,Esdron Brown (DEM),1648,"Anthony "Kip" Dupree (NOPTY)""nthony "Kip" Dupree""thony "Kip"""hony",1049,,,,,DEM
