LOUISIANA CONGRESSIONAL DISTRICTS BY CENSUS TRACT,,,
State,Tract,Parish,CongressionalDistrict
22,100,19,3
22,100,21,5
22,100,25,5
22,100,29,5
22,100,33,2
22,100,35,5
22,100,53,3
22,100,55,3
22,100,69,4
22,100,71,2
22,100,73,5
22,100,85,4
22,100,107,5
22,100,123,5
22,101,109,6
22,102,109,6
22,200,19,3
22,200,21,5
22,200,25,5
22,200,29,5
22,200,33,2
22,200,35,5
22,200,53,3
22,200,55,3
22,200,69,4
22,200,71,2
22,200,73,5
22,200,85,4
22,200,107,5
22,200,123,5
22,201,109,6
22,202,109,6
22,300,19,3
22,300,21,5
22,300,25,5
22,300,29,5
22,300,33,2
22,300,35,5
22,300,53,3
22,300,69,4
22,300,71,2
22,300,85,4
22,300,107,5
22,300,109,1
22,300,109,6
22,300,123,5
22,400,19,3
22,400,29,5
22,400,33,2
22,400,53,3
22,400,69,4
22,400,71,2
22,400,85,4
22,401,73,5
22,401,109,6
22,402,73,5
22,402,109,6
22,500,19,3
22,500,29,5
22,500,33,2
22,500,53,3
22,500,55,3
22,500,69,4
22,500,73,5
22,500,85,4
22,500,109,1
22,500,109,6
22,600,19,3
22,600,53,3
22,600,69,4
22,600,73,5
22,600,85,4
22,600,109,1
22,601,33,2
22,601,71,2
22,602,33,2
22,602,55,3
22,602,71,2
22,603,55,3
22,603,71,2
22,604,55,3
22,604,71,2
22,605,71,2
22,606,71,2
22,607,71,2
22,611,71,2
22,612,71,2
22,613,71,2
22,615,71,2
22,616,71,2
22,617,71,2
22,618,71,2
22,700,19,3
22,700,53,3
22,700,55,3
22,700,69,4
22,700,73,5
22,700,85,4
22,700,109,1
22,701,33,2
22,701,71,2
22,702,33,2
22,702,71,2
22,800,19,3
22,800,55,3
22,800,69,4
22,800,71,2
22,800,109,1
22,900,19,3
22,900,33,2
22,900,55,3
22,900,69,4
22,900,73,5
22,900,109,1
22,901,71,2
22,902,71,2
22,903,71,2
22,904,71,2
22,1000,19,3
22,1000,33,2
22,1000,109,1
22,1001,55,3
22,1002,55,3
22,1003,55,3
22,1100,19,3
22,1100,55,3
22,1100,71,2
22,1100,73,5
22,1100,109,1
22,1102,33,2
22,1103,33,2
22,1104,33,2
22,1200,55,3
22,1200,71,2
22,1201,19,3
22,1201,109,1
22,1202,19,3
22,1202,109,1
22,1300,19,3
22,1300,55,3
22,1300,109,1
22,1301,71,2
22,1302,71,2
22,1400,19,3
22,1400,73,5
22,1400,109,1
22,1401,55,3
22,1401,71,2
22,1402,55,3
22,1402,71,2
22,1403,55,3
22,1404,55,3
22,1405,55,3
22,1406,55,3
22,1407,55,3
22,1409,55,3
22,1410,55,3
22,1411,55,3
22,1500,19,3
22,1500,55,3
22,1500,71,2
22,1500,73,5
22,1500,109,1
22,1500,109,6
22,1600,19,3
22,1600,33,2
22,1600,33,6
22,1600,55,3
22,1600,71,2
22,1600,109,6
22,1700,19,3
22,1700,33,6
22,1700,55,3
22,1700,73,5
22,1700,109,1
22,1700,109,6
22,1701,71,2
22,1702,71,2
22,1720,71,2
22,1722,71,2
22,1723,71,2
22,1724,71,1
22,1724,71,2
22,1725,71,1
22,1725,71,2
22,1730,71,1
22,1730,71,2
22,1734,71,1
22,1734,71,2
22,1735,71,2
22,1736,71,2
22,1737,71,1
22,1737,71,2
22,1739,71,2
22,1740,71,2
22,1741,71,2
22,1743,71,2
22,1744,71,2
22,1745,71,1
22,1745,71,2
22,1746,71,1
22,1746,71,2
22,1747,71,2
22,1748,71,2
22,1749,71,2
22,1750,71,2
22,1751,71,2
22,1800,33,6
22,1800,71,2
22,1801,19,3
22,1801,55,3
22,1802,55,3
22,1900,33,6
22,1900,71,2
22,1901,19,3
22,1901,55,3
22,1902,55,3
22,1903,19,3
22,1903,55,3
22,1904,19,3
22,1904,55,3
22,1905,55,3
22,2000,19,3
22,2000,33,6
22,2000,71,2
22,2001,55,3
22,2002,55,3
22,2100,19,3
22,2100,71,2
22,2101,55,3
22,2102,55,3
22,2103,55,3
22,2104,55,3
22,2200,33,2
22,2200,33,6
22,2200,55,3
22,2200,71,2
22,2201,19,3
22,2203,19,3
22,2204,19,3
22,2300,19,3
22,2300,33,6
22,2300,71,2
22,2400,19,3
22,2400,33,2
