LOUISIANA STATE LEGISLATIVE DISTRICTS UPPER BY CENSUS TRACT,,,
State,Tract,Parish,StateLegislativeDistrictsUpper
22,100,19,27
22,100,21,32
22,100,25,32
22,100,29,32
22,100,29,34
22,100,33,14
22,100,35,34
22,100,53,25
22,100,55,23
22,100,55,24
22,100,69,31
22,100,71,3
22,100,71,7
22,100,73,34
22,100,73,35
22,100,85,31
22,100,107,34
22,100,123,33
22,101,109,21
22,102,109,21
22,200,19,27
22,200,21,32
22,200,25,32
22,200,29,32
22,200,29,34
22,200,33,14
22,200,35,34
22,200,53,25
22,200,55,23
22,200,55,24
22,200,69,31
22,200,71,3
22,200,71,7
22,200,73,33
22,200,73,35
22,200,85,31
22,200,107,34
22,200,123,33
22,201,109,21
22,202,109,21
22,300,19,27
22,300,21,32
22,300,25,32
22,300,29,32
22,300,33,14
22,300,35,34
22,300,53,25
22,300,69,31
22,300,71,3
22,300,71,7
22,300,85,31
22,300,107,34
22,300,109,20
22,300,109,21
22,300,123,33
22,400,19,27
22,400,29,32
22,400,33,14
22,400,53,25
22,400,69,29
22,400,69,31
22,400,71,7
22,400,85,31
22,401,73,33
22,401,73,34
22,401,109,20
22,401,109,21
22,402,73,34
22,402,109,21
22,500,19,27
22,500,29,32
22,500,33,14
22,500,53,25
22,500,55,23
22,500,69,31
22,500,73,34
22,500,85,31
22,500,109,20
22,600,19,27
22,600,53,25
22,600,69,29
22,600,69,31
22,600,73,34
22,600,85,31
22,600,109,20
22,601,33,14
22,601,71,7
22,602,33,14
22,602,55,23
22,602,55,24
22,602,71,7
22,603,55,23
22,603,71,7
22,604,55,23
22,604,71,7
22,605,71,7
22,606,71,7
22,607,71,7
22,611,71,7
22,612,71,7
22,613,71,7
22,615,71,7
22,616,71,7
22,617,71,7
22,618,71,7
22,700,19,27
22,700,53,25
22,700,55,23
22,700,55,24
22,700,69,29
22,700,69,31
22,700,73,34
22,700,85,31
22,700,109,20
22,701,33,14
22,701,71,3
22,702,33,14
22,702,33,15
22,702,71,3
22,800,19,27
22,800,55,24
22,800,69,29
22,800,69,31
22,800,71,3
22,800,109,20
22,900,19,27
22,900,33,14
22,900,55,24
22,900,69,29
22,900,69,31
22,900,73,34
22,900,109,20
22,900,109,21
22,901,71,3
22,902,71,3
22,903,71,3
22,904,71,3
22,1000,19,27
22,1000,33,14
22,1000,109,20
22,1001,55,24
22,1002,55,24
22,1003,55,24
22,1100,19,27
22,1100,55,24
22,1100,71,3
22,1100,73,34
22,1100,109,20
22,1102,33,15
22,1103,33,14
22,1104,33,14
22,1104,33,15
22,1200,55,24
22,1200,71,3
22,1201,19,27
22,1201,109,20
22,1202,19,27
22,1202,109,20
22,1300,19,25
22,1300,55,23
22,1300,55,24
22,1300,109,20
22,1301,71,3
22,1301,71,4
22,1302,71,4
22,1400,19,27
22,1400,73,34
22,1400,109,20
22,1401,55,23
22,1401,71,3
22,1402,55,23
22,1402,71,3
22,1402,71,4
22,1403,55,23
22,1404,55,23
22,1405,55,23
22,1406,55,23
22,1407,55,23
22,1409,55,22
22,1409,55,23
22,1410,55,23
22,1411,55,22
22,1411,55,23
22,1500,19,27
22,1500,55,23
22,1500,71,3
22,1500,71,4
22,1500,73,34
22,1500,109,20
22,1500,109,21
22,1600,19,27
22,1600,33,14
22,1600,33,16
22,1600,55,23
22,1600,71,3
22,1600,109,20
22,1600,109,21
22,1700,19,25
22,1700,19,27
22,1700,33,14
22,1700,33,16
22,1700,55,23
22,1700,73,34
22,1700,73,35
22,1700,109,20
22,1700,109,21
22,1701,71,3
22,1701,71,4
22,1702,71,3
22,1720,71,4
22,1722,71,4
22,1723,71,3
22,1723,71,4
22,1724,71,4
22,1725,71,4
22,1730,71,1
22,1730,71,3
22,1730,71,4
22,1734,71,1
22,1735,71,4
22,1736,71,3
22,1736,71,4
22,1737,71,4
22,1739,71,3
22,1740,71,3
22,1740,71,4
22,1741,71,3
22,1743,71,4
22,1744,71,3
22,1744,71,4
22,1745,71,4
22,1746,71,4
22,1747,71,3
22,1748,71,3
22,1749,71,3
22,1750,71,3
22,1751,71,1
22,1751,71,3
22,1800,33,14
22,1800,33,16
22,1800,71,3
22,1800,71,4
22,1801,19,25
22,1801,55,23
22,1802,55,23
22,1900,33,14
22,1900,33,16
22,1900,71,4
22,1901,19,25
22,1901,19,27
22,1901,55,26
22,1902,55,23
22,1902,55,26
22,1903,19,25
22,1903,55,23
22,1903,55,26
22,1904,19,25
22,1904,19,27
22,1904,55,23
22,1904,55,26
22,1905,55,23
22,1905,55,26
22,2000,19,25
22,2000,19,27
22,2000,33,16
22,2000,71,4
22,2001,55,26
22,2002,55,24
22,2002,55,26
22,2100,19,25
22,2100,71,4
22,2101,55,24
22,2101,55,26
22,2102,55,24
22,2102,55,26
22,2103,55,24
22,2104,55,24
22,2104,55,26
22,2200,33,14
22,2200,33,16
22,2200,55,23
22,2200,71,4
22,2201,19,27
22,2201,19,30
22,2203,19,27
22,2204,19,27
22,2300,19,30
22,2300,33,16
22,2300,71,4
22,2300,71,5
22,2400,19,30
22,2400,33,14
22,2401,71,3
22,2401,71,4
22,2402,71,3
22,2402,71,4
22,2500,19,27
22,2500,33,14
22,2500,33,16
22,2501,71,3
22,2501,71,4
22,2502,71,3
22,2502,71,4
22,2503,71,3
22,2504,71,3
22,2600,19,27
22,2600,71,4
22,2601,33,16
22,2602,33,16
22,2700,19,27
22,2700,19,30
22,2700,33,14
22,2700,33,16
22,2700,71,4
22,2800,19,27
22,2800,19,30
22,2800,71,4
22,2800,71,5
22,2801,33,14
22,2802,33,14
22,2802,33,16
22,2900,19,27
22,2900,19,30
22,2900,71,4
22,3000,19,27
22,3000,33,14
22,3000,33,15
22,3000,71,4
22,3100,71,4
22,3100,71,5
22,3101,19,27
22,3101,33,14
22,3101,33,15
22,3102,19,27
22,3103,33,15
22,3200,19,27
22,3200,19,30
22,3201,33,15
22,3202,33,15
22,3300,19,27
22,3300,33,14
22,3300,33,15
22,3301,71,3
22,3301,71,4
22,3302,71,4
22,3303,71,3
22,3303,71,4
22,3304,71,3
22,3304,71,4
22,3307,71,4
22,3308,71,3
22,3308,71,4
22,3400,19,27
22,3400,19,30
22,3400,33,15
22,3400,71,4
22,3400,71,5
22,3500,19,30
22,3500,71,4
22,3500,71,5
22,3501,33,15
22,3504,33,15
22,3505,33,15
22,3506,33,15
22,3507,33,15
22,3600,19,30
22,3600,71,4
22,3600,71,5
22,3601,33,15
22,3603,33,15
22,3604,33,15
22,3701,33,16
22,3701,71,4
22,3701,71,5
22,3702,33,15
22,3702,33,16
22,3702,71,4
22,3702,71,5
22,3703,33,15
22,3800,71,3
22,3800,71,4
22,3801,33,14
22,3801,33,16
22,3802,33,16
22,3804,33,16
22,3805,33,16
22,3900,71,4
22,3900,71,5
22,3904,33,6
22,3904,33,15
22,3906,33,16
22,3907,33,16
22,3908,33,6
22,3908,33,16
22,3909,33,16
22,3910,33,16
22,4000,71,4
22,4000,71,5
22,4005,33,14
22,4005,33,16
22,4006,33,14
22,4006,33,16
22,4009,33,16
22,4010,33,16
22,4011,33,14
22,4011,33,16
22,4013,33,14
22,4014,33,14
22,4015,33,14
22,4016,33,14
22,4016,33,16
22,4100,71,4
22,4201,33,15
22,4203,33,15
22,4204,33,15
22,4205,33,15
22,4301,33,6
22,4301,33,15
22,4302,33,6
22,4302,33,13
22,4401,33,6
22,4401,71,4
22,4401,71,5
22,4402,33,6
22,4402,33,13
22,4402,71,5
22,4403,33,6
22,4403,33,15
22,4500,71,4
22,4503,33,6
22,4503,33,15
22,4504,33,6
22,4505,33,6
22,4505,33,16
22,4507,33,6
22,4507,33,16
22,4508,33,6
22,4509,33,6
22,4509,33,16
22,4510,33,6
22,4600,71,4
22,4602,33,15
22,4602,33,17
22,4603,33,15
22,4603,33,17
22,4604,33,15
22,4604,33,17
22,4700,33,6
22,4700,33,15
22,4700,33,17
22,4800,33,14
22,4800,33,16
22,4800,71,4
22,4800,71,5
22,4900,33,16
22,4900,71,5
